dates,quiet,run
2017-08-01,1,1
2017-08-02,1,1
2017-08-03,1,1
2017-08-04,0,1
2017-08-05,0,1
2017-08-06,0,1
2017-08-07,1,1
2017-08-08,1,1
2017-08-09,1,1
2017-08-10,1,1
2017-08-11,1,1
2017-08-12,0,1
2017-08-13,1,1
2017-08-14,1,1
2017-08-15,1,1
2017-08-16,1,1
2017-08-17,0,1
2017-08-18,0,1
2017-08-19,0,1
2017-08-20,0,1
2017-08-21,0,1
2017-08-22,0,1
2017-08-23,0,1
2017-08-24,0,1
2017-08-25,1,1
2017-08-26,1,1
2017-08-27,1,1
2017-08-28,1,1
2017-08-29,1,1
2017-08-30,1,1
2017-08-31,0,1
