v,v_e,gflg,slist,bmnum,p_l,w_l,elv,phi0,time,tfreq,scan,rsep,frang,gdlat,glong,sza,tau_l
-56.5931282043457,3.4371590614318848,0,8,0,4.314610958099365,23.38532257080078,40.18846893310547,-1.6525400876998901,2017-08-05 11:00:00.052037,10.5,1,45,180,56.47159953974264,-106.99685959685796,92.87028466188714,194.3158249425302
-59.80842208862305,1.2145063877105713,0,9,0,11.214499473571777,3.0149974822998047,38.34832000732422,-2.1827738285064697,2017-08-05 11:00:00.052037,10.5,1,45,180,56.88268935470303,-107.02833612540866,92.6369240653289,1507.1781232222158
-59.35377883911133,3.688673257827759,0,4,1,4.1686859130859375,29.726091384887695,40.077213287353516,-2.356663465499878,2017-08-05 11:00:03.467203,10.5,0,45,180,54.80769171480474,-106.60405060403242,93.68128988999901,152.8669944546594
-62.201480865478516,3.2227964401245117,0,8,1,5.461964130401611,25.273221969604492,41.72557830810547,-1.8836636543273926,2017-08-05 11:00:03.467203,10.5,0,45,180,56.47985047528731,-106.52718481976629,92.65117691631937,179.80051187606603
-55.489933013916016,2.1945080757141113,0,9,1,8.026337623596191,16.24468994140625,40.892723083496094,-2.125046491622925,2017-08-05 11:00:03.467203,10.5,0,45,180,56.891201181207016,-106.5125509703296,92.39986367612745,279.73068512127935
-58.37400436401367,48.12661361694336,0,8,2,3.6933679580688477,486.4335632324219,39.53030014038086,3.1345081329345703,2017-08-05 11:00:06.984628,10.6,0,45,180,56.471415742725604,-106.05797196940958,92.44087552524589,9.253615207463216
-68.10957336425781,4.334746837615967,0,9,2,3.4652211666107178,40.007320404052734,13.726987838745117,-1.6156094074249268,2017-08-05 11:00:06.984628,10.6,0,45,180,56.88146943658359,-105.99722759022306,92.17231389034598,112.51113477952605
-69.83257293701172,2.8036460876464844,0,15,3,5.210618019104004,21.2795467376709,42.271148681640625,-2.80623197555542,2017-08-05 11:00:10.396804,10.5,0,45,180,58.77236087576342,-105.13354036046137,90.10401908706486,213.544879640124
-96.70208740234375,2.743558645248413,0,8,4,9.100719451904297,27.20250129699707,41.06410598754883,2.5126380920410156,2017-08-05 11:00:13.904886,10.7,0,45,180,56.40487711524329,-105.12912766199248,92.04985206626118,163.92614174385758
-70.7698745727539,2.2379705905914307,0,6,5,12.071220397949219,29.42377281188965,42.81028747558594,2.651486396789551,2017-08-05 11:00:17.417316,10.7,0,45,180,55.546879609911045,-105.05888737363586,92.50635442406724,151.55096227486925
-94.27766418457031,2.971614122390747,0,7,5,14.854350090026855,53.696407318115234,42.45834732055664,2.55611515045166,2017-08-05 11:00:17.417316,10.7,0,45,180,55.948284224349194,-104.86725230068939,92.1871455792931,83.04468224440478
-120.85104370117188,3.1613073348999023,0,8,5,13.954702377319336,48.1443977355957,42.350555419921875,2.5270373821258545,2017-08-05 11:00:17.417316,10.7,0,45,180,56.34713033859563,-104.67353780303159,91.87005863102577,92.62139092254317
-62.098114013671875,1.6730464696884155,0,3,6,13.648536682128906,14.954792022705078,10.069170951843262,3.064603090286255,2017-08-05 11:00:20.930392,10.7,0,45,180,54.27677546394092,-105.38902328170255,93.3885299068804,298.178742748735
-73.31267547607422,1.537321925163269,0,6,6,16.566757202148438,15.440600395202637,43.23127746582031,2.5696935653686523,2017-08-05 11:00:20.930392,10.7,0,45,180,55.48760254315796,-104.69619328763633,92.36551149658469,288.7971302453029
-87.56426239013672,1.924725890159607,0,7,6,19.124370574951172,27.709068298339844,43.00129699707031,2.5075550079345703,2017-08-05 11:00:20.930392,10.7,0,45,180,55.881847106683566,-104.46276248955905,92.03246486949132,160.92930427639746
-86.54327392578125,2.9720888137817383,0,8,6,18.008867263793945,48.136085510253906,42.86933517456055,2.4720218181610107,2017-08-05 11:00:20.930392,10.7,0,45,180,56.2734116727643,-104.22645852811297,91.70151882101054,92.63738494998968
-60.52589416503906,1.8891947269439697,0,6,7,12.72883415222168,20.47318458557129,43.89377212524414,2.9430229663848877,2017-08-05 11:00:24.346917,10.5,0,45,180,55.41549078976649,-104.34156352068003,92.23469554781322,221.9556135929561
-102.43201446533203,1.6124948263168335,0,7,7,15.434768676757812,17.948871612548828,44.065147399902344,2.9889397621154785,2017-08-05 11:00:24.346917,10.5,0,45,180,55.80119346359291,-104.0674606332554,91.88876160131171,253.17124914500604
-110.10648345947266,2.9126126766204834,0,8,7,17.26661491394043,45.307579040527344,43.613868713378906,2.8683347702026367,2017-08-05 11:00:24.346917,10.5,0,45,180,56.1840602269528,-103.7897785969885,91.54491525105605,100.29532239689132
-50.17833709716797,1.6529442071914673,0,9,7,15.530282020568848,15.558119773864746,42.999366760253906,2.705709457397461,2017-08-05 11:00:24.346917,10.5,0,45,180,56.56465892728013,-103.50794395086139,91.20261315258176,292.0750266060929
-58.180721282958984,0.9128187894821167,0,5,8,20.049087524414062,4.542724609375,2.1539204120635986,2.556157350540161,2017-08-05 11:00:27.858987,10.8,0,45,180,54.951145709082176,-104.30645502096932,92.47464841257957,972.5247652832026
-75.91387939453125,1.0519651174545288,0,6,8,16.63669204711914,7.530017852783203,43.04634475708008,2.3446342945098877,2017-08-05 11:00:27.858987,10.8,0,45,180,55.330853698294405,-103.99640082099722,92.1139146650821,586.7067344130833
-119.66299438476562,2.592085599899292,0,7,8,13.99996280670166,42.764892578125,43.27235794067383,2.405665397644043,2017-08-05 11:00:27.858987,10.8,0,45,180,55.70667612338592,-103.68294721600878,91.75608892852185,103.30698659906118
-106.66545867919922,2.2591161727905273,0,8,8,15.561518669128418,31.282169342041016,43.430484771728516,2.4485175609588623,2017-08-05 11:00:27.858987,10.8,0,45,180,56.07947586399987,-103.36530702704248,91.40034594820231,141.22780732285372
-96.1495590209961,2.429910182952881,0,9,8,9.356698989868164,21.436508178710938,43.19004821777344,2.3834095001220703,2017-08-05 11:00:27.858987,10.8,0,45,180,56.449813318619746,-103.04289502870003,91.04614221683381,206.09290224170815
-66.10506439208984,1.483778953552246,0,2,9,13.412007331848145,8.059624671936035,21.259445190429688,-1.9147191047668457,2017-08-05 11:00:31.274512,10.7,0,45,180,53.71420655487068,-105.0442858563454,93.52697487500915,553.2765190575368
-71.95071411132812,3.229658603668213,0,5,9,7.071591854095459,33.17747497558594,43.510074615478516,2.7344491481781006,2017-08-05 11:00:31.274512,10.7,0,45,180,54.86529288669741,-104.00945681799031,92.37549867791172,134.40447432121857
-84.52593231201172,1.208069086074829,0,6,9,18.548643112182617,11.112247467041016,5.471937656402588,2.9423575401306152,2017-08-05 11:00:31.274512,10.7,0,45,180,55.23404285633036,-103.66204799411035,92.00389797461119,401.2870570624912
