v,v_e,gflg,slist,bmnum,p_l,w_l,elv,phi0,time,tfreq,scan,rsep,frang,gdlat,glong,sza,tau_l
106.60686492919922,13.959712028503418,0,17,5,1.5556557178497314,135.35235595703125,24.447486877441406,-1.3720958232879639,2017-08-21 11:00:15.018489,10.7,0,45,180,59.42276997954118,-103.13129127326636,93.52800096110037,32.94513089092164
-63.3302001953125,2.2077226638793945,0,0,6,13.604047775268555,26.25462532043457,31.93375587463379,-0.2410077154636383,2017-08-21 11:00:18.016077,10.8,0,45,180,52.90589572575243,-106.15482374003892,98.3930613545781,168.27176661477966
-198.8524932861328,4.832859039306641,0,1,8,21.721220016479492,91.16747283935547,26.344959259033203,-1.3100444078445435,2017-08-21 11:00:24.110655,10.7,0,45,180,53.337819874419054,-105.55489334879529,97.84418492247006,48.91219362037695
-123.50065612792969,20.725725173950195,0,2,8,14.343171119689941,359.7463073730469,23.960676193237305,-1.7083008289337158,2017-08-21 11:00:24.110655,10.7,0,45,180,53.76842860718245,-105.23205278899603,97.45212901067593,12.395404739415282
71.49642181396484,155.8258514404297,0,9,8,2.361821174621582,952.9094848632812,42.943580627441406,2.385957956314087,2017-08-21 11:00:24.110655,10.7,0,45,180,56.449813318619746,-103.04289502870003,94.9878347127407,4.679564170818171
-111.62452697753906,8.042072296142578,0,2,9,28.79541778564453,175.25450134277344,18.10444450378418,-2.4979560375213623,2017-08-21 11:00:27.111732,10.8,0,45,180,53.71420655487068,-105.0442858563454,97.3805489506975,25.20855185247327
-137.78004455566406,5.542550563812256,0,3,9,11.345300674438477,101.29073333740234,17.84302520751953,-2.5298306941986084,2017-08-21 11:00:27.111732,10.8,0,45,180,54.108908049977956,-104.69794211046907,96.9989657978324,43.616153609654084
-66.47959899902344,11.211236953735352,0,11,11,4.615149021148682,96.55049896240234,43.3216667175293,-2.916703939437866,2017-08-21 11:00:33.101914,10.5,0,45,180,56.56812834304841,-100.97304845817546,93.91871818261492,47.06488620697709
-67.72949981689453,7.924363136291504,0,12,11,2.1040289402008057,45.753578186035156,9.982621192932129,-2.4823532104492188,2017-08-21 11:00:33.101914,10.5,0,45,180,56.79453417136109,-100.63301275131332,93.64634369381632,99.31765835703055
-63.13624954223633,4.083435535430908,0,10,13,2.5173819065093994,18.586158752441406,40.458953857421875,3.135617733001709,2017-08-21 11:00:39.092088,10.8,0,45,180,55.93067374140205,-100.49884772711216,93.97931537546015,237.69904493570144
-837.352294921875,33.16701126098633,0,11,14,5.853240013122559,347.53265380859375,20.061912536621094,-0.7729550004005432,2017-08-21 11:00:42.087679,10.8,0,45,180,55.90515420539605,-99.69510375011,93.58717541298414,12.712221818764258
154.490234375,32.45600509643555,0,16,14,3.2389776706695557,277.8686828613281,19.366024017333984,-0.8731763958930969,2017-08-21 11:00:42.087679,10.8,0,45,180,56.93596471571245,-97.37542081489265,91.97836139634234,15.899280692540058
-57.839881896972656,3.347904920578003,0,9,15,3.2531988620758057,14.34144115447998,40.54051971435547,-1.5561140775680542,2017-08-21 11:00:45.092760,10.5,0,45,180,55.23067595947979,-100.3163091644084,94.20637656421688,316.8536688847918
-63.84360122680664,6.006322383880615,0,10,15,2.3420023918151855,40.48720932006836,40.818904876708984,-1.4727678298950195,2017-08-21 11:00:45.092760,10.5,0,45,180,55.47954833109666,-99.77692505030585,93.81901104546533,112.23639078132081
-50.30051040649414,5.063397407531738,0,0,1,5.317331314086914,60.724082946777344,27.555789947509766,0.8713764548301697,2017-08-21 11:01:03.018834,10.6,0,45,180,52.91592399603709,-106.83028574238213,98.63433260810815,74.12658700985692
639.3403930664062,953.9284057617188,0,10,1,5.060276985168457,2844.5185546875,19.8188419342041,-0.4366271495819092,2017-08-21 11:01:03.018834,10.6,0,45,180,57.28620609243561,-106.5061956398041,96.07501062256155,1.5824361597959662
-73.35698699951172,0.7202086448669434,0,0,4,31.534528732299805,4.646629810333252,35.30478286743164,1.0326966047286987,2017-08-21 11:01:12.105006,10.7,0,45,180,52.93101612350284,-106.41608165595638,98.39775965099325,959.6635121400388
-62.02353286743164,3.229841709136963,0,5,5,7.250121116638184,29.498750686645508,11.825074195861816,-3.0663201808929443,2017-08-21 11:01:15.098591,10.8,0,45,180,55.142019635541786,-105.24918627688557,96.62532598644319,149.7660776013372
-52.13883972167969,3.1422359943389893,0,1,7,12.857888221740723,37.05272674560547,20.9937801361084,-2.2361838817596436,2017-08-21 11:01:21.093268,10.8,0,45,180,53.37826566506051,-105.70995419490522,97.78118400304857,119.23311919284387
-55.97229766845703,4.3386993408203125,0,16,8,2.3556535243988037,14.830070495605469,40.617515563964844,1.7433704137802124,2017-08-21 11:01:24.094353,10.8,0,45,180,58.54927422019059,-101.0762851790362,92.91460557227266,297.90230503542057
-75.14661407470703,26.89368438720703,0,10,9,3.3889174461364746,328.6178283691406,43.018341064453125,2.515194892883301,2017-08-21 11:01:27.101924,10.7,0,45,180,56.662055124928195,-102.23937700130585,94.37330519499973,13.569565307911212
-60.180992126464844,5.998877048492432,0,11,9,7.018123149871826,39.571533203125,42.677120208740234,2.423485040664673,2017-08-21 11:01:27.101924,10.7,0,45,180,56.928682090915146,-101.95353182290229,94.10570452772578,112.68709404079557
-93.5970687866211,14.532561302185059,0,11,11,3.21636700630188,144.71878051757812,29.35033416748047,-0.3519538342952728,2017-08-21 11:01:33.096102,10.8,0,45,180,56.56812834304841,-100.97304845817546,93.79802203658869,30.52756642004756
-57.647560119628906,2.2594802379608154,0,2,12,11.602981567382812,14.455530166625977,10.47260856628418,-2.1109859943389893,2017-08-21 11:01:36.092192,10.5,0,45,180,53.50888506924297,-104.52273036938138,97.07976152224106,314.35292891460654
-97.65642547607422,197.1953887939453,0,6,12,4.561781406402588,892.0946044921875,11.502817153930664,-2.032804489135742,2017-08-21 11:01:36.092192,10.5,0,45,180,54.87466507668772,-102.73622383498622,95.48509054365928,5.0937851479093
-60.10673904418945,1.027256727218628,0,8,12,17.3902645111084,4.163708209991455,41.4116096496582,-3.0115175247192383,2017-08-21 11:01:36.092192,10.5,0,45,180,55.51874727816606,-101.82224124066425,94.71372984134094,1091.3680828997506
-56.13739776611328,1.2729077339172363,0,9,12,13.131505966186523,2.492917776107788,41.243560791015625,-3.0568490028381348,2017-08-21 11:01:36.092192,10.5,0,45,180,55.8353383886589,-101.35642743134356,94.33056373887275,1822.8191440742678
-59.779518127441406,6.0721964836120605,0,10,12,3.916063070297241,51.906166076660156,40.6086540222168,3.0565707683563232,2017-08-21 11:01:36.092192,10.5,0,45,180,56.136144435178636,-100.89891153158445,93.96183167483889,87.54524925191147
-57.51895523071289,3.5075323581695557,0,11,12,4.039610862731934,7.843807220458984,7.974891662597656,-2.270324468612671,2017-08-21 11:01:36.092192,10.5,0,45,180,56.36253985783408,-100.51977966525803,93.66908234366821,579.3281399165268
319.63079833984375,1274.692138671875,0,13,14,6.892555236816406,3563.81103515625,16.292930603027344,-0.8954584002494812,2017-08-21 11:01:42.084863,10.6,0,45,180,56.249576039947385,-98.87138202318279,92.89701788331566,1.263049295752211
584.99658203125,162.4766845703125,0,30,14,2.8036818504333496,785.1728515625,17.7159366607666,-0.7215865254402161,2017-08-21 11:01:42.084863,10.6,0,45,180,60.42259281426917,-88.51718271228508,86.09813721996387,5.732838328771173
-54.80428695678711,1.0463159084320068,0,7,4,16.495872497558594,1.5275373458862305,42.876380920410156,3.0004711151123047,2017-08-21 11:02:12.029264,10.7,0,45,180,56.00020425778073,-105.27926510965538,96.07045178168968,2919.2092065100505
-53.45857238769531,5.563824653625488,0,1,5,8.615464210510254,56.69942855834961,24.87967872619629,-1.3699520826339722,2017-08-21 11:02:15.024347,10.8,0,45,180,53.4335012909358,-106.03686164446967,97.80324050674737,77.91810776244701
-59.94529724121094,3.9670233726501465,0,5,6,12.859808921813965,70.00086212158203,5.43632173538208,2.8599557876586914,2017-08-21 11:02:18.024932,10.7,0,45,180,55.08979573319571,-104.92751169196943,96.3695410599278,63.70208806362959
-951.0149536132812,975.620361328125,0,10,6,4.89480447769165,2644.0478515625,41.798866271972656,2.2181344032287598,2017-08-21 11:02:18.024932,10.7,0,45,180,57.0368011368404,-103.7539505341945,94.80037899379481,1.6865054392884178
