v,v_e,gflg,slist,bmnum,p_l,w_l,elv,phi0,time,tfreq,scan,rsep,frang,gdlat,glong,sza,tau_l
-56.69275665283203,4.604207992553711,0,6,0,2.4383528232574463,39.23675537109375,6.949156761169434,-1.0958783626556396,2017-08-01 11:00:00.023741,10.5,1,45,180,55.643043981590026,-106.94122892052016,92.4531519815685,115.81330321314117
-69.43867492675781,0.3606153726577759,0,0,6,39.12126541137695,0.956749677658081,35.27127456665039,0.528957724571228,2017-08-01 11:00:03.001349,10.8,0,45,180,52.90589572575243,-106.15482374003892,93.72955822251932,4617.625997317037
-58.81443786621094,5.218873023986816,0,2,6,1.2416030168533323,34.59000778198242,17.890871047973633,-2.535949945449829,2017-08-01 11:00:03.001349,10.8,0,45,180,53.85439792570587,-105.62442934292751,92.91155960752263,127.72220845755044
-52.46830749511719,2.357912540435791,0,5,6,11.77101993560791,18.96910285949707,42.63090133666992,2.360562801361084,2017-08-01 11:00:03.001349,10.8,0,45,180,55.08979573319571,-104.92751169196944,91.85797894281214,232.90042851271582
-58.24912643432617,1.952248334884644,0,6,6,2.594383478164673,3.268251419067383,42.42831039428711,2.30627703666687,2017-08-01 11:00:03.001349,10.8,0,45,180,55.48760254315796,-104.69619328763632,91.51919507945588,1351.7663172129307
-51.17806625366211,0.6829495429992676,0,0,1,38.29008865356445,3.463666677474976,23.750207901000977,-0.0834399238228797,2017-08-01 11:00:06.000927,10.7,0,45,180,52.91592399603709,-106.83028574238212,94.04318384752156,1287.4221161055207
-53.56059646606445,2.840388536453247,0,2,6,6.820771217346191,17.732540130615234,13.031431198120115,-3.045868396759033,2017-08-01 11:00:09.000514,10.8,0,45,180,53.85439792570587,-105.62442934292751,92.8996829828114,249.14153031302743
-54.5540771484375,1.6673768758773804,0,0,6,25.94335556030273,18.07704734802246,28.16311454772949,-0.8828036189079285,2017-08-01 11:00:15.001185,10.7,0,45,180,52.90589572575243,-106.15482374003892,93.705385438191,246.6775130666915
-65.80195617675781,1.79535174369812,0,1,6,17.14573860168457,18.04623413085937,29.50953483581543,-0.6267487406730652,2017-08-01 11:00:15.001185,10.7,0,45,180,53.40927705792359,-105.87148880823646,93.26939872968406,247.09870497433593
-55.65937042236328,0.5458105206489563,0,3,6,22.729814529418945,1.4063160419464111,10.18116569519043,3.082638502120972,2017-08-01 11:00:15.001185,10.7,0,45,180,54.27677546394092,-105.38902328170256,92.52721554487616,3170.838524480782
-67.677734375,1.240025758743286,0,4,6,13.200569152832031,3.382073402404785,2.0259640216827397,2.7413721084594727,2017-08-01 11:00:15.001185,10.7,0,45,180,54.68700578427568,-105.1578435879524,92.17768196454254,1318.4814617649477
-52.79970932006836,1.4059873819351196,0,5,6,15.219477653503418,6.58388614654541,11.396751403808594,-3.1109108924865723,2017-08-01 11:00:15.001185,10.7,0,45,180,55.08979573319571,-104.92751169196944,91.83477033900726,677.2901268559712
-52.43275833129883,4.092805862426758,0,0,3,6.652742862701416,32.069908142089844,32.75364303588867,0.7415832877159119,2017-08-01 11:00:18.001263,10.8,0,45,180,52.93344064554932,-106.55137620334092,93.87441405615476,137.75880382645698
53.567848205566406,6.895182132720947,0,1,3,9.453546524047852,111.439453125,32.15827941894531,0.6097440123558044,2017-08-01 11:00:18.001263,10.8,0,45,180,53.460929180858216,-106.37695248449684,93.47437732471064,39.64405837063058
-52.42633819580078,4.062578201293945,0,2,3,9.089922904968262,47.40647888183594,14.020916938781738,-2.2943243980407715,2017-08-01 11:00:18.001263,10.8,0,45,180,53.92457294492217,-106.24452925116948,93.13408628715004,93.19216041104032
-81.4503173828125,1.6414591073989868,0,3,3,14.30610466003418,12.579737663269045,11.136956214904783,-2.550336599349976,2017-08-01 11:00:18.001263,10.8,0,45,180,54.36424358857358,-106.12685271074412,92.81619234647368,351.19271186221107
-79.27710723876953,2.703491687774658,0,4,3,9.848217964172363,18.425277709960938,42.43355178833008,-3.0899899005889893,2017-08-01 11:00:18.001263,10.8,0,45,180,54.79141085599574,-106.01602915186314,92.50994508883338,239.77452356608288
-57.293575286865234,0.7794184684753418,0,0,6,29.98052978515625,4.316726207733154,33.29006576538086,0.0628294050693512,2017-08-01 11:00:21.001849,10.8,0,45,180,52.90589572575243,-106.15482374003892,93.69329266883705,1023.4404434926236
-56.16609191894531,6.954895973205566,0,1,6,25.953201293945312,140.0070037841797,28.81835556030273,-0.8509460687637329,2017-08-01 11:00:21.001849,10.8,0,45,180,53.40927705792359,-105.87148880823646,93.25741492783604,31.554937003643378
-51.345481872558594,2.900827646255493,0,2,6,6.9619317054748535,21.39299774169922,16.925992965698242,-2.678032875061035,2017-08-01 11:00:21.001849,10.8,0,45,180,53.85439792570587,-105.62442934292751,92.87591425677353,206.51206707077142
-51.661582946777344,4.087703227996826,0,3,6,8.088240623474121,57.65088272094727,7.41592264175415,2.812504768371582,2017-08-01 11:00:21.001849,10.8,0,45,180,54.27677546394092,-105.38902328170256,92.5154232953802,76.63216894462946
-56.8772087097168,2.045198917388916,0,4,6,10.944445610046388,10.25664520263672,2.0151827335357666,2.6368720531463623,2017-08-01 11:00:21.001849,10.8,0,45,180,54.68700578427568,-105.1578435879524,92.16598127812448,430.73657099330285
-55.37305068969727,1.9910073280334477,0,5,6,14.243423461914062,13.918767929077148,15.138641357421877,-2.87341856956482,2017-08-01 11:00:21.001849,10.8,0,45,180,55.08979573319571,-104.92751169196944,91.82316001592866,317.40684283192655
-72.83061981201172,2.303250312805176,0,6,6,4.250010967254639,8.230074882507324,6.154421329498291,2.7535250186920166,2017-08-01 11:00:21.001849,10.8,0,45,180,55.48760254315796,-104.69619328763632,91.48464496179272,536.8009705317185
-57.28349685668945,6.27357816696167,0,4,4,2.972879409790039,66.39201354980469,37.76726150512695,1.671199917793274,2017-08-01 11:00:24.000936,10.7,0,45,180,54.76712280488559,-105.72568685100336,92.37805530208983,67.16472125150857
-53.57096099853516,4.230616569519043,0,5,4,13.27938461303711,57.09084701538086,37.02544784545898,1.489119291305542,2017-08-01 11:00:24.000936,10.7,0,45,180,55.18251957029036,-105.57663208104952,92.06347790187736,78.10711027281934
