v,v_e,gflg,slist,bmnum,p_l,w_l,elv,phi0,time,tfreq,scan,rsep,frang,gdlat,glong,sza,tau_l
548.5108642578125,71.2705307006836,0,26,0,2.250159740447998,395.25262451171875,9.745545387268066,0.17901526391506195,2017-08-12 11:00:00.007509,13.3,1,45,180,63.35722140562972,-107.86821524687844,90.2113061415315,9.076416804993746
51.146907806396484,3.024618148803711,0,1,3,6.794684886932373,33.2833251953125,13.402772903442383,-0.9252530932426453,2017-08-12 11:00:10.244392,13.2,0,45,180,53.460929180858216,-106.37695248449683,95.98043085805898,108.60259311390632
-198.67784118652344,1134.590087890625,0,18,4,5.363152980804443,2533.923583984375,34.44605255126953,-3.0365052223205566,2017-08-12 11:00:13.660065,13.0,0,45,180,59.93767251142776,-103.79979743825152,91.17165807474142,1.4484515359118157
82.64144897460938,15.510682106018066,0,20,4,1.49247145652771,130.8011932373047,35.735958099365234,-2.6721508502960205,2017-08-12 11:00:13.660065,13.0,0,45,180,60.74701668158566,-103.41197319715447,90.00547618385309,28.05987786706655
68.92401885986328,191.6584014892578,0,21,4,3.4566574096679688,784.5140380859375,36.29830551147461,-2.509554862976074,2017-08-12 11:00:13.660065,13.0,0,45,180,61.149195560863895,-103.21306512117673,89.75513235905561,4.678393666555768
-60.29487991333008,2.888434648513794,0,4,7,17.759780883789062,39.719696044921875,38.92998123168945,-2.391773223876953,2017-08-12 11:00:23.901435,13.0,0,45,180,54.631559499634925,-104.88249672450289,94.56759493110623,92.40416902874514
-63.98881912231445,1.9634039402008057,0,5,7,14.192779541015625,19.921573638916016,38.938106536865234,-2.3893370628356934,2017-08-12 11:00:23.901435,13.0,0,45,180,55.02608131383325,-104.61286285776634,94.2195145895047,184.23572221903297
75.2613296508789,25.452030181884766,0,17,7,4.581549167633057,274.8712463378906,3.047959089279175,-2.1412012577056885,2017-08-12 11:00:23.901435,13.0,0,45,180,59.11770845542025,-101.48163783727412,90.02442782598658,13.352671681757496
-810.5226440429688,111.57723999023438,0,19,7,3.794480562210083,687.4219970703125,38.27592468261719,-2.5865070819854736,2017-08-12 11:00:23.901435,13.0,0,45,180,59.87752633344188,-100.79825248236222,89.44353033383958,5.339173786622267
69.5997085571289,2.4924042224884033,0,3,8,17.458539962768555,46.553096771240234,10.908166885375977,-1.7703219652175903,2017-08-12 11:00:27.410868,13.1,0,45,180,54.173463552862145,-104.92166458140073,94.83423679609888,78.23858058371091
-79.30997467041016,6.161406517028809,0,17,8,4.071938991546631,92.39849853515625,35.98429489135742,2.967146396636963,2017-08-12 11:00:27.410868,13.1,0,45,180,58.92173428535869,-100.69852718417238,89.81285018339284,39.41891124748256
-93.8936538696289,5.678141117095947,0,18,8,7.466552734375,99.38803100585938,36.65782165527344,-3.12507700920105,2017-08-12 11:00:27.410868,13.1,0,45,180,59.29102498101233,-100.31468712777739,89.51039895327254,36.646748872037165
-50.781890869140625,3.2654361724853516,0,0,9,1.3151508569717407,22.85356903076172,25.2794189453125,0.18544644117355347,2017-08-12 11:00:30.918949,13.2,0,45,180,52.82112644138072,-105.79118510518808,96.01333933218407,158.16590480020406
-53.35158157348633,0.9777764081954956,0,5,9,13.825715065002441,3.9245076179504395,38.359371185302734,-2.752578020095825,2017-08-12 11:00:30.918949,13.2,0,45,180,54.86529288669741,-104.00945681799031,94.0042310433729,921.0468613008048
-64.12886047363281,0.3540405035018921,0,0,11,24.5670166015625,0.7565096020698547,31.290985107421875,2.3178317546844482,2017-08-12 11:00:37.939313,13.1,0,45,180,52.73476926590087,-105.57224340642982,95.9379545264365,4814.543269764939
-56.9675407409668,0.9374408721923828,0,10,11,14.403006553649902,4.123300552368164,37.16823196411133,-2.3361146450042725,2017-08-12 11:00:37.939313,13.1,0,45,180,56.32706631833885,-101.32336708686692,91.92921094064214,883.333185854253
-337.3077392578125,563.8551635742188,0,17,11,4.295312881469727,1543.0421142578125,33.70907974243164,2.9575347900390625,2017-08-12 11:00:37.939313,13.1,0,45,180,58.1736354338017,-98.55930625254356,89.27877017479975,2.3604334447539403
197.2185821533203,194.55032348632812,0,18,11,3.73506236076355,927.3087768554688,32.64933395385742,2.671844244003296,2017-08-12 11:00:37.939313,13.1,0,45,180,58.49918319878467,-98.05792441443504,88.93884235031929,3.927762040071422
-272.83099365234375,268.2137756347656,0,22,11,3.08406138420105,1207.933837890625,34.92484664916992,-2.9877467155456543,2017-08-12 11:00:37.939313,13.1,0,45,180,59.76567089498069,-95.97329449811677,87.53448367176001,3.0152712830019808
-62.033546447753906,0.20616494119167328,0,0,12,26.153419494628906,0.1548917591571808,28.63347625732422,1.7459473609924316,2017-08-12 11:00:41.350491,13.3,0,45,180,52.68274737778215,-105.47118936794858,95.90933892975035,23161.190646014635
