Alt,Ne,Time
202.2724609375,71285348059.42856,2017-09-06 13:48:10.803770
202.2724609375,89449363163.42856,2017-09-06 07:36:00.003982
202.2724609375,107341587602.2857,2017-09-06 07:36:57.603850
202.2724609375,124384842313.14285,2017-09-06 07:37:58.803770
202.2724609375,118128324022.85715,2017-09-06 07:39:00.003810
202.2724609375,118429097984.0,2017-09-06 07:39:57.603769
202.2724609375,118794357028.57143,2017-09-06 07:40:58.803759
202.2724609375,120370649965.7143,2017-09-06 07:42:00.003910
202.2724609375,117923163574.85715,2017-09-06 07:42:57.603779
202.2724609375,115765047881.14285,2017-09-06 07:43:58.803829
202.2724609375,116359265133.71428,2017-09-06 07:45:00.003859
202.2724609375,117542975195.42857,2017-09-06 07:45:57.603828
202.2724609375,116960777947.42857,2017-09-06 07:46:58.803808
202.2724609375,116027291355.42857,2017-09-06 07:48:00.003818
202.2724609375,113413156278.85712,2017-09-06 07:48:57.603988
202.2724609375,116699585389.71426,2017-09-06 07:49:58.803838
202.2724609375,117961207222.85712,2017-09-06 07:51:00.003817
202.2724609375,115753813138.2857,2017-09-06 07:51:57.603797
202.2724609375,113352725065.14285,2017-09-06 07:52:58.803817
202.2724609375,112834194870.85713,2017-09-06 07:54:00.003837
202.2724609375,113376156525.71428,2017-09-06 07:54:57.603796
202.2724609375,115472544329.14285,2017-09-06 07:55:58.803786
202.2724609375,112873896813.71428,2017-09-06 07:57:00.003786
202.2724609375,111255594130.2857,2017-09-06 07:57:57.603785
202.2724609375,112670635739.42857,2017-09-06 07:58:58.803785
202.2724609375,114376620909.71428,2017-09-06 08:00:00.003795
202.2724609375,114797637046.85715,2017-09-06 08:00:57.603785
202.2724609375,114032737133.7143,2017-09-06 08:01:58.803785
202.2724609375,113214276754.28572,2017-09-06 08:03:00.003825
202.2724609375,113860179675.42856,2017-09-06 08:03:57.603844
202.2724609375,111249561307.42856,2017-09-06 08:04:58.803824
202.2724609375,108536861257.14285,2017-09-06 08:06:00.003824
202.2724609375,109172437577.14285,2017-09-06 08:06:57.603803
202.2724609375,108902989823.99998,2017-09-06 08:07:58.803783
202.2724609375,108683383369.14285,2017-09-06 08:09:00.004045
202.2724609375,109233978221.7143,2017-09-06 08:09:57.603823
202.2724609375,108718963565.71428,2017-09-06 08:10:58.803923
202.2724609375,111170884169.14285,2017-09-06 08:12:00.003793
202.2724609375,114032810861.71426,2017-09-06 08:12:57.603772
202.2724609375,120562228077.7143,2017-09-06 08:13:58.803782
202.2724609375,121395091163.42857,2017-09-06 08:15:00.003862
202.2724609375,122728153088.0,2017-09-06 08:15:57.603801
202.2724609375,121924266276.57143,2017-09-06 08:16:58.803781
202.2724609375,121823408713.14285,2017-09-06 08:18:00.003781
202.2724609375,123909288521.14285,2017-09-06 08:18:57.603761
202.2724609375,121627908973.71426,2017-09-06 08:19:58.803771
202.2724609375,112013356470.85715,2017-09-06 08:21:00.003750
202.2724609375,111484210614.85713,2017-09-06 08:21:57.603750
202.2724609375,111189951634.2857,2017-09-06 08:22:58.803770
202.2724609375,110822333293.7143,2017-09-06 08:24:00.003720
202.2724609375,110659198975.99998,2017-09-06 08:24:57.603749
202.2724609375,105259020873.14285,2017-09-06 08:25:58.803729
202.2724609375,107800179273.14287,2017-09-06 08:27:00.003739
202.2724609375,112223258916.57143,2017-09-06 08:27:57.603718
202.2724609375,112334876086.85713,2017-09-06 08:28:58.803718
202.2724609375,113368286354.2857,2017-09-06 08:30:00.003718
202.2724609375,116755266413.71428,2017-09-06 08:30:57.603848
202.2724609375,117490233929.14285,2017-09-06 08:31:58.803798
202.2724609375,107729110454.85713,2017-09-06 08:33:00.003798
202.2724609375,109873721051.42856,2017-09-06 08:33:57.603767
202.2724609375,109514879853.71428,2017-09-06 08:34:58.803868
202.2724609375,111431775085.71428,2017-09-06 08:36:00.003747
202.2724609375,112800558811.42856,2017-09-06 08:37:58.803746
202.2724609375,110825565915.42856,2017-09-06 08:39:00.003777
202.2724609375,109470050889.14284,2017-09-06 08:39:57.603776
202.2724609375,123818157202.2857,2017-09-06 08:40:58.803746
202.2724609375,122346059483.42854,2017-09-06 08:42:00.003736
202.2724609375,120948025636.57143,2017-09-06 08:42:57.603725
202.2724609375,120035923675.42856,2017-09-06 08:43:58.803755
202.2724609375,119625186157.71428,2017-09-06 08:45:00.003785
202.2724609375,121106491684.57143,2017-09-06 08:45:57.603724
202.2724609375,123788447158.85713,2017-09-06 08:46:58.803714
202.2724609375,123418938806.85715,2017-09-06 08:48:00.003754
202.2724609375,122569340635.42856,2017-09-06 08:48:57.603714
202.2724609375,122531601261.71426,2017-09-06 08:49:58.803703
202.2724609375,124065700717.71426,2017-09-06 08:51:00.003754
202.2724609375,109428693284.57143,2017-09-06 08:51:57.603683
202.2724609375,108112616886.85716,2017-09-06 08:52:58.803723
202.2724609375,107484973933.7143,2017-09-06 08:54:00.003683
202.2724609375,107295207424.0,2017-09-06 08:54:57.603752
202.2724609375,107633618944.0,2017-09-06 08:55:58.803672
202.2724609375,107604017737.14285,2017-09-06 08:57:00.003692
202.2724609375,109110569837.71428,2017-09-06 08:57:57.603762
202.2724609375,124256487716.57143,2017-09-06 08:58:58.803701
202.2724609375,124165575241.14285,2017-09-06 09:00:00.003681
202.2724609375,125024800182.85713,2017-09-06 09:00:57.603681
202.2724609375,126611617499.42856,2017-09-06 09:01:58.803640
202.2724609375,127622827446.85713,2017-09-06 09:03:00.003661
202.2724609375,125048023332.57141,2017-09-06 09:03:57.603660
202.2724609375,122920751689.14284,2017-09-06 09:04:58.803640
202.2724609375,122173181366.85713,2017-09-06 09:06:00.003771
202.2724609375,124563858578.2857,2017-09-06 09:06:57.603710
202.2724609375,130869604937.14285,2017-09-06 09:07:58.803699
202.2724609375,136540816530.2857,2017-09-06 09:09:00.003770
202.2724609375,140366939282.2857,2017-09-06 09:09:57.603679
202.2724609375,148710838857.14288,2017-09-06 09:10:58.803699
202.2724609375,151592574976.0,2017-09-06 09:12:00.003699
202.2724609375,152991732297.14285,2017-09-06 09:12:57.603658
202.2724609375,154071283419.42856,2017-09-06 09:13:58.803668
202.2724609375,149457101970.2857,2017-09-06 09:15:00.003658
202.2724609375,147617061741.7143,2017-09-06 09:15:57.603637
202.2724609375,145295221906.2857,2017-09-06 09:16:58.803637
202.2724609375,142368887369.14282,2017-09-06 09:18:00.003707
202.2724609375,143360454070.85715,2017-09-06 09:18:57.603707
202.2724609375,145085153280.0,2017-09-06 09:19:58.803697
202.2724609375,141797746980.5714,2017-09-06 09:21:00.003667
202.2724609375,142583586815.99997,2017-09-06 09:21:57.603636
202.2724609375,142410482834.2857,2017-09-06 09:22:58.803837
202.2724609375,142346430756.5714,2017-09-06 09:24:00.003797
202.2724609375,142627114422.85715,2017-09-06 09:24:57.603816
202.2724609375,141801913197.7143,2017-09-06 09:25:58.803907
202.2724609375,141610187629.71426,2017-09-06 09:27:00.003796
202.2724609375,143586396452.5714,2017-09-06 09:27:57.603795
202.2724609375,140937225362.2857,2017-09-06 09:28:58.803775
202.2724609375,139761792731.42856,2017-09-06 09:30:00.003826
202.2724609375,141299768173.71426,2017-09-06 09:30:57.603775
202.2724609375,144082400987.42856,2017-09-06 09:31:58.803855
202.2724609375,142798331904.0,2017-09-06 09:33:00.003795
202.2724609375,142514418249.14285,2017-09-06 09:33:57.603754
202.2724609375,144327031661.71426,2017-09-06 09:34:58.803794
202.2724609375,147783767771.42856,2017-09-06 09:36:00.003814
202.2724609375,146368294326.85712,2017-09-06 09:36:57.603763
202.2724609375,144446205366.85715,2017-09-06 09:37:58.803753
202.2724609375,141244521325.71426,2017-09-06 09:39:00.003803
202.2724609375,142811801892.5714,2017-09-06 09:39:57.603732
202.2724609375,141497664658.2857,2017-09-06 09:40:58.803783
202.2724609375,140106564754.2857,2017-09-06 09:42:00.003752
202.2724609375,135824685933.71426,2017-09-06 09:42:57.603732
202.2724609375,137588642377.14282,2017-09-06 09:43:58.803732
202.2724609375,138603612452.5714,2017-09-06 09:45:00.003732
202.2724609375,138416135021.71426,2017-09-06 09:45:57.603731
202.2724609375,135776224402.2857,2017-09-06 09:46:58.803691
202.2724609375,135711130770.2857,2017-09-06 09:48:00.003791
202.2724609375,135424272676.57143,2017-09-06 09:48:57.603690
202.2724609375,138651646829.7143,2017-09-06 09:49:58.803710
202.2724609375,137566287579.42856,2017-09-06 09:51:00.003680
202.2724609375,135163802185.14285,2017-09-06 09:51:57.603659
202.2724609375,134137056694.85713,2017-09-06 09:52:58.803669
202.2724609375,134111013156.57141,2017-09-06 09:54:00.003720
202.2724609375,133873046089.14284,2017-09-06 09:54:57.603659
202.2724609375,131716456448.0,2017-09-06 09:55:58.803669
202.2724609375,130956800585.14285,2017-09-06 09:57:00.003618
202.2724609375,130061480521.14284,2017-09-06 09:57:57.603678
202.2724609375,131328980699.42856,2017-09-06 09:58:58.803638
202.2724609375,134578726034.2857,2017-09-06 10:00:00.003668
202.2724609375,138867117494.85712,2017-09-06 10:00:57.603647
202.2724609375,128491215140.57141,2017-09-06 10:01:58.803647
202.2724609375,131792809983.99998,2017-09-06 10:03:00.003657
202.2724609375,132036629650.28569,2017-09-06 10:03:57.603647
202.2724609375,133877993472.0,2017-09-06 10:04:58.803626
202.2724609375,135459292891.42856,2017-09-06 10:06:00.003677
202.2724609375,136481984512.0,2017-09-06 10:06:57.603676
202.2724609375,135241144612.57143,2017-09-06 10:07:58.803636
202.2724609375,144970681782.85712,2017-09-06 10:09:00.003706
202.2724609375,144767309531.42856,2017-09-06 10:09:57.603635
202.2724609375,144730780233.14285,2017-09-06 10:10:58.803665
202.2724609375,143964834084.57144,2017-09-06 10:12:00.003645
202.2724609375,143175694043.42856,2017-09-06 10:12:57.603624
202.2724609375,140180358290.2857,2017-09-06 10:13:58.803604
202.2724609375,137803277458.2857,2017-09-06 10:15:00.003795
202.2724609375,137656815030.85715,2017-09-06 10:15:57.603795
202.2724609375,133362067748.57143,2017-09-06 10:16:58.803765
202.2724609375,132629975625.14285,2017-09-06 10:18:00.003785
202.2724609375,131551593618.2857,2017-09-06 10:18:57.603754
202.2724609375,131209673581.7143,2017-09-06 10:19:58.803764
202.2724609375,130587069878.85715,2017-09-06 10:21:00.003764
202.2724609375,131525888292.57143,2017-09-06 10:21:57.603753
202.2724609375,131143286784.0,2017-09-06 10:22:58.803733
202.2724609375,135219560448.0,2017-09-06 10:24:00.003743
202.2724609375,135797886390.85715,2017-09-06 10:24:57.603722
202.2724609375,134017749577.14285,2017-09-06 10:25:58.803722
202.2724609375,132964404662.85713,2017-09-06 10:27:00.003712
202.2724609375,133498504338.2857,2017-09-06 10:27:57.603691
202.2724609375,135870266221.71428,2017-09-06 10:28:58.803691
202.2724609375,137379770953.14285,2017-09-06 10:30:00.003762
202.2724609375,139233756306.2857,2017-09-06 10:30:57.603701
202.2724609375,139030498742.85712,2017-09-06 10:31:58.803791
202.2724609375,143793663414.85715,2017-09-06 10:33:00.003832
202.2724609375,145868801170.2857,2017-09-06 10:33:57.603771
202.2724609375,148445059949.7143,2017-09-06 10:34:58.803791
202.2724609375,145280264484.5714,2017-09-06 10:36:00.003781
202.2724609375,147505230409.14285,2017-09-06 10:36:57.603810
202.2724609375,144270113645.7143,2017-09-06 10:37:58.803770
202.2724609375,143414531803.42856,2017-09-06 10:39:00.003770
202.2724609375,142731356452.5714,2017-09-06 10:39:57.603769
202.2724609375,135074098614.85715,2017-09-06 10:40:58.803779
202.2724609375,133935932562.2857,2017-09-06 10:42:00.003769
202.2724609375,135322982107.42854,2017-09-06 10:42:57.603728
202.2724609375,134515896905.14285,2017-09-06 10:43:58.803738
202.2724609375,137174587099.42856,2017-09-06 10:45:00.003789
202.2724609375,141216107958.85715,2017-09-06 10:45:57.603728
202.2724609375,140015568018.2857,2017-09-06 10:46:58.803708
202.2724609375,150361994971.42856,2017-09-06 10:48:00.003848
202.2724609375,150186110390.85715,2017-09-06 10:48:57.603818
202.2724609375,151322401645.71426,2017-09-06 10:49:58.803747
202.2724609375,152901358153.14285,2017-09-06 10:51:00.003757
202.2724609375,152737960521.14285,2017-09-06 10:51:57.603706
202.2724609375,154268633380.5714,2017-09-06 10:52:58.803706
202.2724609375,154669301760.0,2017-09-06 10:54:00.003706
202.2724609375,153820601197.71426,2017-09-06 10:54:57.603756
202.2724609375,155040752786.2857,2017-09-06 10:55:58.803746
202.2724609375,155823891602.28568,2017-09-06 10:57:00.003685
202.2724609375,156786070089.14285,2017-09-06 10:57:57.603675
202.2724609375,158674241828.5714,2017-09-06 10:58:58.803665
202.2724609375,155983151104.0,2017-09-06 11:00:00.003805
202.2724609375,156054075099.4286,2017-09-06 11:00:57.603664
202.2724609375,156715300571.42856,2017-09-06 11:01:58.803674
202.2724609375,158470092507.42856,2017-09-06 11:03:00.003684
202.2724609375,157960908214.85715,2017-09-06 11:03:57.603673
202.2724609375,153349493321.14285,2017-09-06 11:04:58.803663
202.2724609375,151380880822.85715,2017-09-06 11:06:00.003663
202.2724609375,152200893001.14285,2017-09-06 11:06:57.603773
202.2724609375,154088821321.14285,2017-09-06 11:07:58.803783
