Alt,Ne,Time
101.55322265625,27188253842.285713,2017-09-06 07:36:00.003982
101.55322265625,34131006025.142857,2017-09-06 07:37:58.803770
101.55322265625,41938633289.14285,2017-09-06 07:39:00.003810
101.55322265625,48771064978.285706,2017-09-06 07:40:58.803759
101.55322265625,48723512173.71429,2017-09-06 07:43:58.803829
101.55322265625,49421959167.99999,2017-09-06 07:45:00.003859
101.55322265625,49195329243.428566,2017-09-06 07:45:57.603828
101.55322265625,48758128639.99999,2017-09-06 07:46:58.803808
101.55322265625,48722654354.285706,2017-09-06 07:48:00.003818
101.55322265625,47761006006.85714,2017-09-06 07:48:57.603988
101.55322265625,48569820891.42857,2017-09-06 07:49:58.803838
101.55322265625,49042287469.71429,2017-09-06 07:51:00.003817
101.55322265625,48902358747.428566,2017-09-06 07:51:57.603797
101.55322265625,49721143296.0,2017-09-06 07:52:58.803817
101.55322265625,48888631296.0,2017-09-06 07:54:00.003837
101.55322265625,49245529819.428566,2017-09-06 07:55:58.803786
101.55322265625,49465762962.28571,2017-09-06 07:57:00.003786
101.55322265625,48174312301.71428,2017-09-06 07:57:57.603785
101.55322265625,47844720054.85713,2017-09-06 07:58:58.803785
101.55322265625,47793726610.28571,2017-09-06 08:00:00.003795
101.55322265625,47811655972.57143,2017-09-06 08:00:57.603785
101.55322265625,49104722797.71429,2017-09-06 08:03:00.003825
101.55322265625,49222332415.99999,2017-09-06 08:03:57.603844
101.55322265625,49665557065.14285,2017-09-06 08:04:58.803824
101.55322265625,50458392868.57142,2017-09-06 08:06:00.003824
101.55322265625,50500984246.85714,2017-09-06 08:06:57.603803
101.55322265625,51609258861.71428,2017-09-06 08:09:00.004045
101.55322265625,52453787355.42857,2017-09-06 08:09:57.603823
101.55322265625,51496319853.71429,2017-09-06 08:10:58.803923
101.55322265625,51914355273.14285,2017-09-06 08:12:00.003793
101.55322265625,52860485632.0,2017-09-06 08:12:57.603772
101.55322265625,55570245924.57143,2017-09-06 08:13:58.803782
101.55322265625,56232921965.71428,2017-09-06 08:15:00.003862
101.55322265625,55987630665.14285,2017-09-06 08:15:57.603801
