Alt,Ne,Time
154.92822265625,40712954441.14285,2017-09-06 13:48:10.803770
151.423828125,45734180571.428566,2017-09-06 07:36:00.003982
151.423828125,51280051638.85714,2017-09-06 07:57:00.003786
151.423828125,61556199424.0,2017-09-06 21:07:58.803730
151.423828125,59903518427.428566,2017-09-06 22:00:57.603788
151.423828125,61760375076.57142,2017-09-06 23:21:57.603730
154.98046875,62619402240.0,2017-09-06 07:36:57.603850
154.845703125,68858054948.57143,2017-09-06 07:37:58.803770
154.95849609375,74711161124.57141,2017-09-06 07:39:00.003810
154.96923828125,81155279140.57143,2017-09-06 07:39:57.603769
154.8583984375,83111483099.42856,2017-09-06 07:40:58.803759
154.9169921875,81822828836.57144,2017-09-06 07:42:00.003910
154.89111328125,82538549833.14285,2017-09-06 07:42:57.603779
154.93359375,82253633243.42856,2017-09-06 07:43:58.803829
154.9169921875,83026110756.57143,2017-09-06 07:45:00.003859
154.93359375,85469468379.42857,2017-09-06 07:45:57.603828
154.93505859375,84926708589.71428,2017-09-06 07:46:58.803808
154.92138671875,84053825243.42856,2017-09-06 07:48:00.003818
154.90185546875,84316138934.85715,2017-09-06 07:48:57.603988
154.94482421875,85267666651.42857,2017-09-06 07:49:58.803838
154.9736328125,86935814144.00002,2017-09-06 07:51:00.003817
154.93505859375,86737471780.57143,2017-09-06 07:51:57.603797
154.9541015625,84824849261.71426,2017-09-06 07:52:58.803817
154.95654296875,86650806272.0,2017-09-06 07:54:00.003837
154.966796875,87724621823.99998,2017-09-06 07:54:57.603796
154.96484375,88964415488.0,2017-09-06 07:55:58.803786
154.90087890625,90838329636.57143,2017-09-06 07:57:57.603785
154.72119140625,91280616886.85713,2017-09-06 07:58:58.803785
154.93798828125,90491700370.2857,2017-09-06 08:00:00.003795
154.87890625,92138526427.42856,2017-09-06 08:00:57.603785
154.96044921875,91734590610.2857,2017-09-06 08:01:58.803785
154.9853515625,92367772525.71428,2017-09-06 08:03:00.003825
154.9033203125,93906605787.42856,2017-09-06 08:03:57.603844
154.92919921875,88465447204.57141,2017-09-06 08:04:58.803824
154.9541015625,87616142774.85713,2017-09-06 08:06:00.003824
154.9306640625,86644270811.42856,2017-09-06 08:06:57.603803
154.96337890625,87186709942.85713,2017-09-06 08:07:58.803783
154.98046875,87244172141.71428,2017-09-06 08:09:00.004045
154.95703125,86934198564.57143,2017-09-06 08:09:57.603823
154.9140625,86222586441.14284,2017-09-06 08:10:58.803923
154.99267578125,88244199423.99998,2017-09-06 08:12:00.003793
154.96923828125,88258987154.2857,2017-09-06 08:12:57.603772
154.947265625,93468991488.0,2017-09-06 08:13:58.803782
154.9130859375,93458113682.2857,2017-09-06 08:15:00.003862
154.92236328125,93497389641.14285,2017-09-06 08:15:57.603801
154.90380859375,94681907200.0,2017-09-06 08:16:58.803781
154.89697265625,94484814701.71428,2017-09-06 08:18:00.003781
154.9501953125,96766534802.2857,2017-09-06 08:18:57.603761
154.8935546875,96832266239.99998,2017-09-06 08:19:58.803771
154.916015625,93752944932.57143,2017-09-06 08:21:00.003750
154.94140625,93205013650.28572,2017-09-06 08:21:57.603750
154.86962890625,93991514697.14287,2017-09-06 08:22:58.803770
154.92919921875,93693233444.57141,2017-09-06 08:24:00.003720
154.95849609375,94520749494.85713,2017-09-06 08:24:57.603749
154.93505859375,92828187501.71428,2017-09-06 08:25:58.803729
154.9365234375,93712501028.57141,2017-09-06 08:27:00.003739
154.93603515625,93234300050.2857,2017-09-06 08:27:57.603718
154.86767578125,93235530020.57141,2017-09-06 08:28:58.803718
154.93994140625,92849826084.57143,2017-09-06 08:30:00.003718
154.95654296875,92392678546.2857,2017-09-06 08:30:57.603848
154.96240234375,92200316342.85715,2017-09-06 08:31:58.803798
154.970703125,81989379510.85713,2017-09-06 08:33:00.003798
154.9375,82193099337.14285,2017-09-06 08:33:57.603767
154.92431640625,82598783561.14285,2017-09-06 08:34:58.803868
154.896484375,83810833261.71426,2017-09-06 08:36:00.003747
154.9033203125,85694642175.99998,2017-09-06 08:37:58.803746
154.91943359375,83925930861.71428,2017-09-06 08:39:00.003777
154.91455078125,84381675227.42857,2017-09-06 08:39:57.603776
154.93896484375,96402928201.14285,2017-09-06 08:40:58.803746
154.79248046875,96975633261.71428,2017-09-06 08:42:00.003736
154.93115234375,98333090962.28569,2017-09-06 08:42:57.603725
154.93505859375,98716608804.57143,2017-09-06 08:43:58.803755
154.93798828125,99708458715.42856,2017-09-06 08:45:00.003785
154.9736328125,101564404297.14285,2017-09-06 08:45:57.603724
154.9228515625,100884399250.2857,2017-09-06 08:46:58.803714
154.9306640625,101860543926.85713,2017-09-06 08:48:00.003754
154.92529296875,100491945106.2857,2017-09-06 08:48:57.603714
154.92529296875,98746783451.42857,2017-09-06 08:49:58.803703
154.927734375,98147769197.7143,2017-09-06 08:51:00.003754
154.97216796875,85037879296.0,2017-09-06 08:51:57.603683
154.9169921875,85339525120.0,2017-09-06 08:52:58.803723
154.89013671875,86304349622.85713,2017-09-06 08:54:00.003683
154.85791015625,84134708955.42856,2017-09-06 08:54:57.603752
154.87841796875,85085665572.57141,2017-09-06 08:55:58.803672
154.9169921875,86184507684.57143,2017-09-06 08:57:00.003692
154.94580078125,87641914806.85713,2017-09-06 08:57:57.603762
154.9814453125,98263183945.14285,2017-09-06 08:58:58.803701
154.94970703125,98292346294.85713,2017-09-06 09:00:00.003681
154.9443359375,98044964278.85713,2017-09-06 09:00:57.603681
154.8798828125,100355662994.2857,2017-09-06 09:01:58.803640
154.9677734375,101259385709.71428,2017-09-06 09:03:00.003661
154.97216796875,97914188361.14285,2017-09-06 09:03:57.603660
154.8212890625,97775333961.14284,2017-09-06 09:04:58.803640
154.91845703125,99040374198.85715,2017-09-06 09:06:00.003771
154.9541015625,100648937764.57144,2017-09-06 09:06:57.603710
154.94140625,102624849334.85715,2017-09-06 09:07:58.803699
154.93115234375,104197503853.71428,2017-09-06 09:09:00.003770
154.9169921875,103722175926.85712,2017-09-06 09:09:57.603679
154.90380859375,109322983131.42856,2017-09-06 09:10:58.803699
154.92431640625,109820132205.7143,2017-09-06 09:12:00.003699
154.95947265625,111751379821.7143,2017-09-06 09:12:57.603658
154.94970703125,112129210075.42857,2017-09-06 09:13:58.803668
154.91943359375,112904670646.85713,2017-09-06 09:15:00.003658
154.837890625,114568323071.99998,2017-09-06 09:15:57.603637
154.90185546875,114834966820.57143,2017-09-06 09:16:58.803637
154.94482421875,115951410029.7143,2017-09-06 09:18:00.003707
154.9228515625,114235578075.42857,2017-09-06 09:18:57.603707
154.83056640625,112753358555.42857,2017-09-06 09:19:58.803697
154.7119140625,112348286390.85715,2017-09-06 09:21:00.003667
154.96533203125,110089084928.0,2017-09-06 09:21:57.603636
154.89794921875,109497829668.57143,2017-09-06 09:22:58.803837
154.91162109375,110503930148.57143,2017-09-06 09:24:00.003797
154.900390625,107925657307.42857,2017-09-06 09:24:57.603816
154.9814453125,109670006784.0,2017-09-06 09:25:58.803907
154.95361328125,111783815460.57141,2017-09-06 09:27:00.003796
154.87060546875,111503452452.57143,2017-09-06 09:27:57.603795
154.88427734375,112964652470.85713,2017-09-06 09:28:58.803775
154.93994140625,111366236452.57141,2017-09-06 09:30:00.003826
154.93603515625,111194843428.57143,2017-09-06 09:30:57.603775
154.9677734375,111960643291.42856,2017-09-06 09:31:58.803855
154.95556640625,111287153225.14285,2017-09-06 09:33:00.003795
154.8935546875,108353033947.42856,2017-09-06 09:33:57.603754
154.84912109375,107126636543.99998,2017-09-06 09:34:58.803794
154.95166015625,106126170989.71428,2017-09-06 09:36:00.003814
154.955078125,104623864685.71428,2017-09-06 09:36:57.603763
154.92626953125,102877767972.57141,2017-09-06 09:37:58.803753
154.92529296875,102186730642.2857,2017-09-06 09:39:00.003803
154.98388671875,102938505801.14284,2017-09-06 09:39:57.603732
154.96923828125,102743976228.57141,2017-09-06 09:40:58.803783
154.98046875,103848031963.42856,2017-09-06 09:42:00.003752
154.923828125,103023944850.2857,2017-09-06 09:42:57.603732
154.9619140625,103520062902.85713,2017-09-06 09:43:58.803732
154.92919921875,105177178111.99998,2017-09-06 09:45:00.003732
154.9033203125,105617082660.57143,2017-09-06 09:45:57.603731
154.9091796875,105632957586.28572,2017-09-06 09:46:58.803691
154.7802734375,105839262573.71428,2017-09-06 09:48:00.003791
154.9375,105569179355.42856,2017-09-06 09:48:57.603690
154.90380859375,105932440722.2857,2017-09-06 09:49:58.803710
154.95654296875,105112015433.14284,2017-09-06 09:51:00.003680
154.93310546875,104086238939.42856,2017-09-06 09:51:57.603659
154.84033203125,104070168575.99998,2017-09-06 09:52:58.803669
154.85302734375,103422656512.0,2017-09-06 09:54:00.003720
154.89697265625,103040462262.85715,2017-09-06 09:54:57.603659
154.919921875,104104563273.14285,2017-09-06 09:55:58.803669
154.91064453125,104541779675.42857,2017-09-06 09:57:00.003618
154.94189453125,106017917220.57143,2017-09-06 09:57:57.603678
154.89404296875,106372631990.85715,2017-09-06 09:58:58.803638
154.96240234375,106074355419.42856,2017-09-06 10:00:00.003668
154.84912109375,107164894354.2857,2017-09-06 10:00:57.603647
154.90087890625,98912639268.57143,2017-09-06 10:01:58.803647
154.90234375,97367828187.42856,2017-09-06 10:03:00.003657
154.9033203125,97558336658.28569,2017-09-06 10:03:57.603647
154.9892578125,98145088658.2857,2017-09-06 10:04:58.803626
154.8515625,98680080091.42856,2017-09-06 10:06:00.003677
154.90771484375,99672567808.0,2017-09-06 10:06:57.603676
154.91455078125,99710957860.57143,2017-09-06 10:07:58.803636
154.94140625,107728947492.57143,2017-09-06 10:09:00.003706
154.92626953125,111431491583.99998,2017-09-06 10:09:57.603635
154.9814453125,112324056795.42856,2017-09-06 10:10:58.803665
154.9306640625,110230733970.2857,2017-09-06 10:12:00.003645
154.75537109375,109395889590.85713,2017-09-06 10:12:57.603624
154.900390625,108451061759.99998,2017-09-06 10:13:58.803604
154.9345703125,107058287177.14285,2017-09-06 10:15:00.003795
154.87890625,107784111250.28572,2017-09-06 10:15:57.603795
154.8310546875,103553853732.57144,2017-09-06 10:16:58.803765
154.93603515625,102313418752.0,2017-09-06 10:18:00.003785
154.9306640625,102961442230.85715,2017-09-06 10:18:57.603754
154.93115234375,103791377261.71428,2017-09-06 10:19:58.803764
154.9169921875,104816443391.99998,2017-09-06 10:21:00.003764
154.9677734375,104470408630.85713,2017-09-06 10:21:57.603753
154.92626953125,104730200356.57143,2017-09-06 10:22:58.803733
154.91552734375,106728858770.2857,2017-09-06 10:24:00.003743
154.916015625,107521494454.85713,2017-09-06 10:24:57.603722
154.927734375,105856076068.57141,2017-09-06 10:25:58.803722
154.90087890625,106313682358.85715,2017-09-06 10:27:00.003712
154.94873046875,106142765641.14284,2017-09-06 10:27:57.603691
154.90625,105896214528.0,2017-09-06 10:28:58.803691
154.892578125,106945524297.14284,2017-09-06 10:30:00.003762
154.96337890625,107301713627.42856,2017-09-06 10:30:57.603701
154.89892578125,107433064155.42856,2017-09-06 10:31:58.803791
154.93505859375,110874551442.2857,2017-09-06 10:33:00.003832
154.89013671875,108924509037.71428,2017-09-06 10:33:57.603771
154.919921875,108796919807.99998,2017-09-06 10:34:58.803791
